id,params,acc
net,522,0.5313000082969666
net_1,2889,0.9163000583648682
net_2,1035,0.788800060749054
net_3,4124,0.9440000653266907
net_4,2550,0.8544000387191772
net_5,2184,0.8994000554084778
net_6,7302,0.921500027179718
net_7,10473,0.9600000381469727
net_8,4972,0.9342000484466553
net_9,3285,0.84170001745224
net_10,522,0.5366000533103943
net_11,2184,0.8998000621795654
net_12,10473,0.9607000350952148
net_13,1399,0.8119000196456909
net_14,1500,0.8524000644683838
net_15,659,0.5596000552177429
net_16,11677,0.9670000672340393
net_17,6299,0.9589000344276428
net_18,821,0.6548000574111938
net_19,10373,0.9589000344276428
net_20,522,0.5358999967575073
net_21,2184,0.9017000198364258
net_22,11677,0.96260005235672
net_23,1164,0.6703000068664551
net_24,1856,0.8220000267028809
net_25,491,0.5614000558853149
net_26,7814,0.932900071144104
net_27,2394,0.9066000580787659
net_28,697,0.7893000245094299
net_29,827,0.7795000076293945
net_30,2184,0.900600016117096
net_31,11677,0.964400053024292
net_32,491,0.6116000413894653
net_33,3119,0.7818000316619873
net_34,2842,0.9120000600814819
net_35,2184,0.7974000573158264
net_36,3204,0.785800039768219
net_37,2285,0.9094000458717346
net_38,13866,0.9633000493049622
net_39,2964,0.8111000657081604
net_40,11677,0.9652000665664673
net_41,491,0.5939000248908997
net_42,2285,0.9102000594139099
net_43,1635,0.8137000203132629
net_44,1440,0.8657000660896301
net_45,617,0.48520001769065857
net_46,2463,0.8309000134468079
net_47,2285,0.9087000489234924
net_48,1437,0.8649000525474548
net_49,1253,0.6651000380516052
net_50,11677,0.9655000567436218
net_51,491,0.5951000452041626
net_52,2285,0.9092000722885132
net_53,2964,0.8272000551223755
net_54,5342,0.931100070476532
net_55,14741,0.9650000333786011
net_56,3881,0.9394000172615051
net_57,8952,0.9523000717163086
net_58,2160,0.8875000476837158
net_59,5478,0.9462000727653503
net_60,11677,0.9676000475883484
net_61,491,0.5716000199317932
net_62,2285,0.9088000655174255
net_63,10379,0.9553000330924988
net_64,9393,0.9576000571250916
net_65,1175,0.7852000594139099
net_66,3193,0.9163000583648682
net_67,7293,0.9508000612258911
net_68,686,0.7476000189781189
net_69,682,0.7521000504493713
net_70,11677,0.9652000665664673
net_71,491,0.5750000476837158
net_72,2285,0.9083000421524048
net_73,1608,0.7593000531196594
net_74,5938,0.9213000535964966
net_75,537,0.508400022983551
net_76,1743,0.900600016117096
net_77,2386,0.9082000255584717
net_78,2043,0.7905000448226929
net_79,15492,0.957300066947937
net_80,11677,0.967400074005127
net_81,491,0.5962000489234924
net_82,1743,0.8973000645637512
net_83,2877,0.8956000208854675
net_84,1828,0.8854000568389893
net_85,4601,0.9317000508308411
net_86,6965,0.9479000568389893
net_87,17153,0.971500039100647
net_88,797,0.6273000240325928
net_89,11196,0.9669000506401062
net_90,491,0.593000054359436
net_91,1743,0.896600067615509
net_92,17153,0.9691000580787659
net_93,437,0.5700000524520874
net_94,19259,0.9707000255584717
net_95,1634,0.9034000635147095
net_96,956,0.8166000247001648
net_97,8277,0.9593000411987305
net_98,15739,0.9621000289916992
net_99,17804,0.9694000482559204
net_100,437,0.5751000046730042
net_101,19259,0.9693000316619873
net_102,1634,0.9029000401496887
net_103,372,0.5522000193595886
net_104,18647,0.975100040435791
net_105,917,0.7863000631332397
net_106,1137,0.879800021648407
net_107,1913,0.7346000075340271
net_108,4144,0.9266000390052795
net_109,687,0.5832000374794006
net_110,1634,0.902400016784668
net_111,372,0.5850000381469727
net_112,18647,0.9756000638008118
net_113,621,0.780500054359436
net_114,405,0.672700047492981
net_115,14953,0.967400074005127
net_116,811,0.7201000452041626
