currency,time_period,obs_value
DKK,2019-11-21,7.4732
MYR,2008-07-03,5.1857
NZD,2009-02-02,2.5535
HUF,2022-10-13,430.65
HRK,2015-02-19,7.7253
GBP,2008-12-29,0.97855
CHF,2007-10-12,1.6803
RUB,2022-03-01,117.201
BRL,2021-03-09,6.9553
CZK,1999-03-24,38.583
IDR,2020-04-01,18239.61
ROL,2004-01-06,41429.0
TRY,2021-12-20,20.0434
MTL,1999-01-13,0.4435
CAD,1999-01-13,1.8123
CNY,2008-03-17,11.1699
THB,2008-07-15,53.536
ZAR,2020-08-10,20.8452
ISK,2008-10-09,305.0
ILS,2011-08-29,5.2192
NOK,2020-03-19,12.3165
AUD,2008-12-18,2.0735
KRW,2009-03-02,1993.95
JPY,2008-07-23,169.75
RON,2021-11-30,4.951
EEK,1999-01-04,15.6466
HKD,2008-07-15,12.4702
INR,2013-08-28,92.065
CYP,2003-04-25,0.5888
PHP,2008-07-15,72.651
MXN,2020-04-06,27.0896
LVL,2010-10-19,0.7099
LTL,1999-01-05,4.7174
BGN,2005-05-24,1.962
PLN,2022-03-07,4.9525
TRL,2004-12-09,1912400.0
SKK,1999-05-19,47.484
USD,2008-07-15,1.599
SEK,2009-03-06,11.7135
SIT,2004-07-26,240.03
SGD,2004-12-29,2.2323
