currency,time_period,obs_value
DKK,2003-04-25,7.4234
MYR,2012-08-09,3.8193
NZD,2015-04-21,1.3884
HUF,2008-07-18,228.16
HRK,2008-09-26,7.1047
GBP,2000-05-03,0.5711
CHF,2022-09-28,0.9437
RUB,2006-02-27,33.336
BRL,2010-06-22,2.1749
CZK,2008-07-21,22.968
IDR,2006-03-23,10867.58
ROL,1999-01-12,12912.0
TRY,2006-03-02,1.555
MTL,2000-10-25,0.3883
CAD,2012-08-16,1.2139
CNY,2015-04-13,6.5552
THB,2019-11-29,33.204
ZAR,2000-02-02,6.0785
ISK,2000-05-03,68.07
ILS,2022-08-26,3.2537
NOK,2003-01-08,7.2225
AUD,2012-08-09,1.1639
KRW,2000-10-26,938.67
JPY,2000-10-26,89.3
RON,2007-07-02,3.113
EEK,1999-01-04,15.6466
HKD,2000-10-26,6.4361
INR,2010-06-08,56.065
CYP,2002-11-06,0.57097
PHP,2015-03-11,46.852
MXN,2008-09-08,14.7939
LVL,2000-10-26,0.5191
LTL,2000-10-26,3.3013
BGN,2005-04-04,1.9441
PLN,2008-07-28,3.2053
TRL,1999-01-07,370147.0
SKK,2008-12-31,30.126
USD,2000-10-26,0.8252
SEK,2000-05-03,8.055
SIT,1999-01-15,187.13
SGD,2022-09-27,1.3838
